healthTOlarge,healthTOsmall,largeTOhealth,largeTOsmall,smallTOhealth,smallTOlarge
0.184956941,-3.156714757,-0.003821449,0.008565615,0.081999699,0.301943912
0.047111443,-2.87716026,0.017356334,0.020822211,-0.098408118,0.160297782
0.103921885,15.59329349,0.15105308,-0.08170255,0.131036866,0.05477746
0.030042469,9.752068271,0.127563685,0.0780042,-0.080509066,0.673080589
-0.12623835,16.54393531,-0.061193509,-0.053504417,-0.099311066,0.220540866
0.02278804,0.037072049,0.054622425,0.061015116,0.025005577,0.10804657
-0.139292811,0.150663433,0.051059775,0.066071486,0.081721561,0.509043637
0.072306741,-0.062337917,0.200335814,0.032984984,-0.109374012,0.27458008
0.163760031,-0.042486541,0.265173397,0.011673628,0.33279931,0.573898534
-0.2370375,0.096524267,-0.137939855,0.032197363,0.118069524,0.054954636
0.094604829,-0.028911672,0.062648952,0.035416257,0.026829152,0.228900747
0.057767259,0.097772936,-0.004923119,-0.04825125,-0.0207813,-0.064144098
0.124746419,-0.001991468,0.067928791,0.109201646,-0.403464432,-0.487683556
0.008339688,0.113828416,-0.109892868,-0.146702877,0.08454533,0.090462702
0.272126127,0.258782382,-0.011571271,0.058964138,-0.081117457,-0.05098921
-0.07435965,-0.100491807,0.003925946,-0.000951273,0.015725896,-0.010614376
0.121946242,0.113077326,-0.00938627,-0.082724581,-0.134855276,0.120750928
0.10212589,0.095806032,-0.014738606,0.02158287,0.147554144,0.167207358
0.245106158,-0.018655297,-0.030445208,0.001227123,-0.161696698,-0.060396283
-0.143313009,0.102376163,0.079003191,0.0146331,0.150682196,0.222274954
-0.00252563,-0.080568453,0.079971073,0.096034083,0.242577383,0.330265479
0.268220315,-0.00450892,-0.043945135,0.044833227,0.25202192,-0.272952988
0.066276558,-0.008698503,0.005386312,0.016180153,-0.037132116,0.25375828
0.036394931,-0.45437787,0.05040841,0.023279722,0.071299726,0.18523325
-0.110878329,0.05759719,0.00055436,-0.05994211,-0.184872337,0.065775826
0.053199442,0.124895044,0.132255067,0.07590364,-0.182908616,0.137144266
-0.058665332,-0.101391357,0.173354675,0.132044529,-0.209433922,-0.139312116
0.068962411,0.089211255,-0.097676363,0.034718712,0.100153134,-0.179731046
0.223362295,0.04997844,-0.027034681,-0.020349389,0.035704365,-0.051560287
-0.010475054,0.091439373,0.144857529,0.232738036,-0.168631107,-0.012725818
-0.021998115,-0.047398872,-0.046153284,-0.086976884,0.033831683,0.017479703
0.017522124,-0.106645596,0.182322636,0.059694023,-0.188419734,-0.287627826
